Family,Feature,Value,Correctness,Prompt,Model
mistral,clustering,0.0056029118168951205,correct,prompt_1,Mistral 8b
mistral,average_degree,19.59090909090909,correct,prompt_1,Mistral 8b
mistral,pagerank,0.4499707462198694,correct,prompt_1,Mistral 8b
mistral,clustering,0.005027594486690518,correct,prompt_1,Mistral 24b
mistral,average_degree,19.651515151515152,correct,prompt_1,Mistral 24b
mistral,pagerank,0.45255292209415676,correct,prompt_1,Mistral 24b
qwen,clustering,0.008725954808144748,incorrect,prompt_1,Qwen 1.5b
qwen,average_degree,19.476923076923075,incorrect,prompt_1,Qwen 1.5b
qwen,pagerank,0.4298885490552987,incorrect,prompt_1,Qwen 1.5b
qwen,clustering,0.006039317402508359,incorrect,prompt_1,Qwen 3b
qwen,average_degree,19.637772817460316,incorrect,prompt_1,Qwen 3b
qwen,pagerank,0.4442391353777817,incorrect,prompt_1,Qwen 3b
qwen,clustering,0.009417278189536886,correct,prompt_1,Qwen 7b
qwen,average_degree,19.439393939393938,correct,prompt_1,Qwen 7b
qwen,pagerank,0.4219219617726441,correct,prompt_1,Qwen 7b
llama,clustering,0.01165885249694469,incorrect,prompt_1,Llama 1b
llama,average_degree,19.0,incorrect,prompt_1,Llama 1b
llama,pagerank,0.3981113219218958,incorrect,prompt_1,Llama 1b
llama,clustering,0.0052063323408323686,correct,prompt_1,Llama 8b
llama,average_degree,19.11864406779661,correct,prompt_1,Llama 8b
llama,pagerank,0.4526422500227611,correct,prompt_1,Llama 8b
gemma,clustering,0.009299259124472355,incorrect,prompt_1,Gemma 2b
gemma,average_degree,19.0,incorrect,prompt_1,Gemma 2b
gemma,pagerank,0.4269189606561886,incorrect,prompt_1,Gemma 2b
gemma,clustering,0.004918798568102895,correct,prompt_1,Gemma 9b
gemma,average_degree,19.647058823529413,correct,prompt_1,Gemma 9b
gemma,pagerank,0.45151780274092385,correct,prompt_1,Gemma 9b
gemma,clustering,0.004195631364866597,correct,prompt_1,Gemma 27b
gemma,average_degree,19.676470588235293,correct,prompt_1,Gemma 27b
gemma,pagerank,0.45362815569632686,correct,prompt_1,Gemma 27b
mistral,clustering,0.004377146435123947,correct,prompt_2,Mistral 8b
mistral,average_degree,19.17391304347826,correct,prompt_2,Mistral 8b
mistral,pagerank,0.45401226982043036,correct,prompt_2,Mistral 8b
mistral,clustering,0.0036392632222401744,correct,prompt_2,Mistral 24b
mistral,average_degree,19.35476410730805,correct,prompt_2,Mistral 24b
mistral,pagerank,0.4568781303522842,correct,prompt_2,Mistral 24b
qwen,clustering,0.00694474532452019,correct,prompt_2,Qwen 1.5b
qwen,average_degree,19.182701202590195,correct,prompt_2,Qwen 1.5b
qwen,pagerank,0.4349866268391702,correct,prompt_2,Qwen 1.5b
qwen,clustering,0.00484058299469135,correct,prompt_2,Qwen 3b
qwen,average_degree,19.397779833487512,correct,prompt_2,Qwen 3b
qwen,pagerank,0.44761957976111477,correct,prompt_2,Qwen 3b
qwen,clustering,0.007604363318538574,correct,prompt_2,Qwen 7b
qwen,average_degree,19.0,correct,prompt_2,Qwen 7b
qwen,pagerank,0.4270943015496661,correct,prompt_2,Qwen 7b
llama,clustering,0.010004187595077483,incorrect,prompt_2,Llama 1b
llama,average_degree,19.0,incorrect,prompt_2,Llama 1b
llama,pagerank,0.4021692145284723,incorrect,prompt_2,Llama 1b
llama,clustering,0.0045446314766120245,correct,prompt_2,Llama 8b
llama,average_degree,19.0,correct,prompt_2,Llama 8b
llama,pagerank,0.4545077054774482,correct,prompt_2,Llama 8b
gemma,clustering,0.007664958938913584,correct,prompt_2,Gemma 2b
gemma,average_degree,19.0,correct,prompt_2,Gemma 2b
gemma,pagerank,0.4301592487336571,correct,prompt_2,Gemma 2b
gemma,clustering,0.0037882434037325124,correct,prompt_2,Gemma 9b
gemma,average_degree,19.47567873303167,correct,prompt_2,Gemma 9b
gemma,pagerank,0.45472638107934255,correct,prompt_2,Gemma 9b
gemma,clustering,0.0033080807681398253,correct,prompt_2,Gemma 27b
gemma,average_degree,19.46529411764706,correct,prompt_2,Gemma 27b
gemma,pagerank,0.4559193950071321,correct,prompt_2,Gemma 27b
